Designator,Mid X,Mid Y,Rotation,Layer
C1,30.2,-37.65,90.0,top
C10,33.8,-37.8,270.0,top
C2,50.4,-50.6,90.0,top
C3,45.1125,-61.8,0.0,top
C4,39.6,-34.4,0.0,top
C5,58.65,-52.8,0.0,top
C6,38.6,-37.8,270.0,top
C7,24.55,-50.6,0.0,top
C8,30.4,-50.6,0.0,top
C9,70.375,-55.8,0.0,top
D1,84.4,-34.0625,270.0,top
J1,23.8,-26.4516,90.0,top
J2,23.7,-39.2542,90.0,top
J4,70.54,-29.2,90.0,top
J6,33.35,-66.0,0.0,top
J7,82.0,-25.95,90.0,top
Q1,82.1375,-41.2,180.0,top
R1,45.8,-52.6,180.0,top
R10,40.0,-30.8,0.0,top
R11,31.2,-61.8,0.0,top
R12,70.8875,-50.4,0.0,top
R13,60.0875,-62.0,0.0,top
R14,79.0,-34.8,180.0,top
R15,73.8,-34.8,0.0,top
R16,67.0,-34.8,180.0,top
R2,54.0,-61.8,0.0,top
R3,37.5125,-53.0,180.0,top
R4,31.9125,-55.6,0.0,top
R5,78.2,-50.6,0.0,top
R6,37.7125,-61.6,0.0,top
R7,24.8,-55.6,180.0,top
R8,53.2,-50.6,270.0,top
R9,74.4875,-55.8,0.0,top
SW1,75.025,-68.125,0.0,top
SW2,47.3,-66.3,0.0,top
SW3,58.8,-56.6,0.0,top
SW4,62.1,-66.3,0.0,top
U1,33.2,-32.0,180.0,top
U2,53.4,-34.04,0.0,top
U3,74.05,-42.6,90.0,top
U4,63.5,-59.325,0.0,top
